record_id,phytoplasma,host_group,country,reference,family,species
1,16SrVI A,insect,Washington,Munyaneza et al 2007,Cicadellidae,Neoaliturus tenellus
2,16SrV B,insect,China,Jin & Gao 1984,Cicadellidae,Hishimonoides chinensis
3,16SrI B,insect,China,Ishijima & Ishiie 1981,Cicadellidae,Hishimonoides sellatiformis
4,16SrI B,insect,Japan,Nishimura et al 1998,Cicadellidae,Hishimonus sellatus
5,16SrI ,insect,Japan,Kusunoki et al 2002,Cicadellidae,Hishimonus sellatus
6,16SrV B,insect,Japan,Kusunoki et al 2002,Cicadellidae,Hishimonus sellatus
7,16SrI C,insect,Marche,Landi et al 2013,Cicadellidae,Neoaliturus fenestratus
8,16SrI B,insect,Marche,Landi et al 2013,Cicadellidae,Neoaliturus fenestratus
9,tested tested negativeative,insect,Serbia,Mitrovic et al 2012,Cixiidae,Cixius similis
10,tested tested negativeative,insect,Serbia,Mitrovic et al 2012,Cixiidae,Cixius wagneri
11,16SrXII A,insect,Serbia,Mitrovic et al 2012,Cixiidae,Hyalesthes obsoletus
12,tested tested negativeative,insect,Serbia,Mitrovic et al 2012,Delphacidae,Asiraca clavicornis
13,16SrV C,insect,Serbia,Mitrovic et al 2012,Dictyopharidae,Dictyophara europaea
14,16SrI B,insect,Serbia,Mitrovic et al 2012,Aphrophoridae,Aphrophora alni
15,tested tested negativeative,insect,Serbia,Mitrovic et al 2012,Aphrophoridae,Philaenus spumarius
16,tested negative,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Hephathus nanus
17,tested negative,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Macropsis fuscula
18,16SrI B,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Anaceratagallia ribauti
19,tested negative,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Aphrodes diminutus
20,tested negative,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Empoasca vitis
21,16SrI C,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Errastunus ocellaris
22,tested negative,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Euscelis incisa
23,tested negative,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Graphocraerus ventralis
24,16SrI C,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Jassargus obtusivalvis
25,16SrI C,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Henschia collina
26,16SrI C,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Mocydia crocea
27,16SrI C,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Psammotettix striatus
28,16SrII E,insect,Serbia,Mitrovic et al 2012,Cicadellidae,Neoaliturus fenestratus
29,not characterized ,insect,Israel,Klein 1970,Cicadellidae,Neoaliturus fenestratus
30,16SrIX ,insect,Iran,Salehi et al 2006,Cicadellidae,Neoaliturus fenestratus
31,16SrII ,insect,Taiwan,Lo 1966,Cicadellidae,Orosius orientalis
32,16SrVI A,insect,Australia,Grylls 1979,Cicadellidae,Orosius argentatus
33,16SrII ,insect,Australia,Helson 1951,Cicadellidae,Orosius argentatus
34,16SrIII B,insect,Australia,Grylls 1979,Cicadellidae,Orosius argentatus
35,tested negative,insect,Italy,Carraro et al 2004,Aphrophoridae,Aphrophora alni
36,tested negative,insect,Italy,Carraro et al 2004,Aphrophoridae,Philaenus spumarius
37,16SrIV A,insect,Czech Republic,Brcak 1979,Cicadellidae,Aphrodes bicinctus
38,16SrXII A,insect,Czech Republic,Brcak 1954,Cicadellidae,Aphrodes bicinctus
39,16SrI C,insect,United Kingdom,Posnette & Ellenberger 1963,Cicadellidae,Aphrodes bicinctus
40,tested negative,insect,Italy,Carraro et al 2004,Cicadellidae,Aphrodes sp.
41,16SrXII A,insect,Croatia,Mikec et al 2009,Cicadellidae,Cicadella viridis
42,16SrIII ,insect,United States,Anthon & Wolfe 1951,Cicadellidae,Graphocephala confluens
43,16SrI ,insect,India,Rangaswami & Griffith 1941,Cicadellidae,Olidiana indica
44,16SrI ,insect,United States,Severin 1947a,Cicadellidae,Acinopterus angulatus
45,16SrIII A,insect,United States,Purcell 1979,Cicadellidae,Acinopterus angulatus
46,16SrIII A,insect,United States,Gilmer et al 1966,Cicadellidae,Colladonus clitellarius
47,16SrIII A,insect,United States,Wolfe et al 1950,Cicadellidae,Colladonus geminatus
48,16SrI ,insect,United States,Frazier & Severin 1945,Cicadellidae,Colladonus geminatus
49,16SrIII A,insect,United States,Wolfe 1955,Cicadellidae,Colladonus montanus
50,16SrI ,insect,United States,Nielson 1979,Cicadellidae,Colladonus montanus
51,16SrIII A,insect,United States,Gilmer et al 1966,Cicadellidae,Norvellina seminuda
52,16SrIX A,insect,Jamaica,Dabek 1982,Cicadellidae,Ollarianus balli
53,16SrV D,insect,Slovenia,Mehle et al 2011,Cicadellidae,Orientus ishidae
