record_id	phytoplasma	host_group	host_family	host_species	country	reference_id	full_reference
1	16SrVI A	insect	Cicadellidae	Neoaliturus tenellus	USA: Washington	Munyaneza et al 2007	Munyaneza, J.E., Crosslin, J.M., Upton, J.E. 2007. Beet leafhopper (Hemiptera: Cicadellidae) transmits the Columbia basin potato purple top phytoplasma to potatoes, beets, and weeds. Journal of Economic Entomology, 99: 268-272
2	16SrV B	insect	Cicadellidae	Hishimonoides chinensis	China	Jin & Gao 1984	Jin, K.X., Gao, Z.H. 1984. Witches' broom of Paulownia spp. infected by Hishimonoides chinensis sucking MLO pathogens of Ziziphus jujuba. Forest Science and Technology (Linye Keji Tongxun), 9: 22-24
3	16SrI B	insect	Cicadellidae	Hishimonoides sellatiformis	China	Ishijima & Ishiie 1981	Ishijima, T., Ishiie, T. 1981. Mulberry dwarf: first tree mycoplasma disease. In Japan, vectors: the rhombic-marked leafhopper, Hishimonus sellatus, Hishimonoides sellatiformis. Mycoplasma diseases of trees and shrubs, 83: 147-183
4	16SrI B	insect	Cicadellidae	Hishimonus sellatus	Japan	Nishimura et al 1998	Nishimura, N., Nakajima, S., Sawayanagi, T., Namba, S., Shiomi, T., Izumi Matsuda, I., Tsuchizaki, T. 1998. Transmission of Cryptotaenia japonica Witches' Broom and Onion Yellows phytoplasmas by Hishimonus sellatus Uhler. Annals of the Phytopathological Society of Japan, 64: 474-477
5	16SrI	insect	Cicadellidae	Hishimonus sellatus	Japan	Kusunoki et al 2002	Kusunoki, M., Shiomi, T., Kobayashi, M., Okudaira, T., Ohashi, A., Nohira, T. 2002. A leafhopper (Hishimonus sellatus) transmits phylogenetically distant phytoplasmas: Rhus yellows and Hovenia witches’ broom phytoplasma. Journal of General Plant Pathology, 68: 147–154
6	16SrV B	insect	Cicadellidae	Hishimonus sellatus	Japan	Kusunoki et al 2002	Kusunoki, M., Shiomi, T., Kobayashi, M., Okudaira, T., Ohashi, A., Nohira, T. 2002. A leafhopper (Hishimonus sellatus) transmits phylogenetically distant phytoplasmas: Rhus yellows and Hovenia witches’ broom phytoplasma. Journal of General Plant Pathology, 68: 147–154
7	16SrI C	insect	Cicadellidae	Neoaliturus fenestratus	Italy: Marche	Landi et al 2013	Landi, L., Isidoro, N., Riolo, P. 2013. Natural phytoplasma infection of four phloem-feeding Auchenorrhyncha across vineyard agroecosystems in Central-Eastern Italy. Journal of Economic Entomology, 106(2): 604-613
8	16SrI B	insect	Cicadellidae	Neoaliturus fenestratus	Italy: Marche	Landi et al 2013	Landi, L., Isidoro, N., Riolo, P. 2013. Natural phytoplasma infection of four phloem-feeding Auchenorrhyncha across vineyard agroecosystems in Central-Eastern Italy. Journal of Economic Entomology, 106(2): 604-613
9	not detected	insect	Cixiidae	Cixius similis	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
10	not detected	insect	Cixiidae	Cixius wagneri	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
11	16SrXII A	insect	Cixiidae	Hyalesthes obsoletus	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
12	not detected	insect	Delphacidae	Asiraca clavicornis	Serbia	Mitrovic et al 2012	Mitrovic, M., Jovic, J., Cvrkovic, T., Krstic, O., Trkulja, N., Tosevski, I. 2012. Characterisation of a 16SrII phytoplasma strain associated with bushy stunt of hawkweed oxtongue (Picris hieracioides) in south-eastern Serbia and the role of the leafhopper Neoaliturus fenestratus (Deltocephalinae) as a natural vector. European Journal of Palnt Pathology, 134(3): 647-660
